0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
"
14,TO00180746_TO0324_1391_000013,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XIII","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Copertina | 1
* | Frontespizio | 5
* | Avviso | 7
* | Calendario Georgico ... | 8
* | Tavola | 111
* | Indice | 113
"
15,TO00180746_TO0324_1391_000014,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XIV","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 133
* | Tavola | 135
"
16,TO00180747_TO0324_1392_000007,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume VII","nan","Torino : Stamp. nazionale",1801,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 121
"
17,TO00180746_TO0324_1391_000016,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XVI","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 88
* | Tavola | 89
"
18,TO00180746_TO0324_1391_000018,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XVIII","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 2
* | Tavola | 117
* | Indice | 119
* | Copertina | 123
"
19,TO00180770_TO0324_25119_000007,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume VII","nan","Torino : dalla Stamperia Briolo",1791,"* | Frontespizio | 1
* | Calendario Reale Georgico ... | 3
* | Copertina | 163
"
20,TO00180746_TO0324_1391_000006,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume VI","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 92
* | Copertina | 97
"
21,TO00180746_TO0324_1391_000003,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume III","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 79
"
22,TO00180770_TO0324_25119_000008,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume VIII","nan","Torino : dalla Stamperia Briolo",1791,"* | Copertina | 1
* | Frontespizio | 5
* | Calendario Reale Georgico ... | 7
"
23,TO00176565_TO0324_25047_000001,"Antologia straniera : giornale di scienze, lettere ed arti presso gli stranieri ovvero scelta d'articoli tradotti da' migliori giornali letterari inglesi, francesi, tedeschi, ecc. Volume I","nan","Torino : G. Pomba",1830,"* | Copertina | 1
* | Antologia Straniera Giornale di Scienze, Lettere ed Arti ... | 3
* | Le Associazioni si ricevono nelle Città e Paesi dei Regi Stati | 13
* | Frontespizio | 17
* | Prefazione | 19
* | Antologia Straniera | 29
* | Appendice. Notizie di scienze, Lettere, Arti, Agricoltura, Industria, Commercio, ecc. | 529
* | Indice del Primo Volume | 549
* | Errata corrige | 552
* | Copertina | 555
"
24,TO00180747_TO0324_1392_000002,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume II","nan","Torino : Stamp. nazionale",1801,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 169
* | Copertina | 175
"
25,TO00180747_TO0324_1392_000005,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume V","nan","Torino : Stamp. nazionale",1801,"* | Frontespizio | 1
* | Prefazione del Vice-Direttore | 3
* | Calendario Georgico ... | 7
* | Indice | 104
* | Copertina | 111
"
26,TO00180746_TO0324_1391_000017,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XVII","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 77
* | Tavole | 79
"
27,TO00176565_TO0324_25047_000004,"Antologia straniera : giornale di scienze, lettere ed arti presso gli stranieri ovvero scelta d'articoli tradotti da' migliori giornali letterari inglesi, francesi, tedeschi, ecc. Volume IV","nan","Torino : G. Pomba",1830,"* | Copertina | 1
* | Frontespizio | 5
* | Antologia Straniera | 7
* | Indice del Quarto Volume | 501
* | Imprimatur | 503
* | Copertina | 507
"
28,TO00180746_TO0324_1391_000012,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XII","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 106
* | Copertina | 111
"
29,TO00180770_TO0324_25119_000005,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume V","nan","Torino : dalla Stamperia Briolo",1791,"* | Frontespizio | 1
* | Calendario Reale Georgico ... | 3
"
30,TO00180746_TO0324_1391_000001,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume I","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Copertina | 1
* | Frontespizio | 5
* | Avviso | 7
* | Calendario Georgico ... | 9
* | Indice | 83
"
31,TO00176561_TO0324_600_000004,"Antologia italiana : giornale di scienze, lettere ed arti Anno II Tomo IV","nan","Torino : G. Pomba",1846,"* | Copertina | 1
* | Frontespizio | 5
* | Copyright | 6
* | Antologia Italiana ... | 7
* | Indice degli articoli contenuti nel presente volume | 741
* | Copertina | 747
"
32,TO00180746_TO0324_1391_000005,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume V","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 112
"
33,TO00176565_TO0324_25047_000002,"Antologia straniera : giornale di scienze, lettere ed arti presso gli stranieri ovvero scelta d'articoli tradotti da' migliori giornali letterari inglesi, francesi, tedeschi, ecc. Volume II","nan","Torino : G. Pomba",1830,"* | Copertina | 1
* | Frontespizio | 5
* | Antologia Straniera | 7
* | Appendice. Notizie di scienze, Lettere, Arti, Agricoltura, Industria, Commercio, ecc. | 492
* | Indice del Secondo Volume | 499
* | Errata corrige | 502
* | Copertina | 505
"
34,TO00180747_TO0324_1392_000001,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume I","nan","Torino : Stamp. nazionale",1801,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 156
"
35,TO00176565_TO0324_25047_000003,"Antologia straniera : giornale di scienze, lettere ed arti presso gli stranieri ovvero scelta d'articoli tradotti da' migliori giornali letterari inglesi, francesi, tedeschi, ecc. Volume III","nan","Torino : G. Pomba",1830,"* | Copertina | 1
* | Frontespizio | 5
* | Antologia Straniera | 7
* | Appendice | 487
* | Bollettino Bibliografico ovvero elenco di Opere stampate nei Paesi Stranieri | 501
* | Indice del Terzo Volume | 506
* | Copertina | 511
"
36,TO00180747_TO0324_1392_000004,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume IV","nan","Torino : Stamp. nazionale",1801,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 118
"
37,TO00180746_TO0324_1391_000015,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XV","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 87
* | Quesito proposto dalla Reale Società Agraria di Torino con assegnamento di premio | 89
"
38,TO00180770_TO0324_25119_000004,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume IV","nan","Torino : dalla Stamperia Briolo",1791,"* | Copertina | 1
* | Frontespizio | 5
* | Calendario Reale Georgico ... | 7
"
39,TO00180770_TO0324_25119_000002,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume II","nan","Torino : dalla Stamperia Briolo",1791,"* | Frontespizio | 1
* | Calendario Reale Georgico ... | 3
"
40,TO00180746_TO0324_1391_000002,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume II","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 95
"
41,TO00180746_TO0324_1391_000004,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume IV","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 91
"
42,TO00176561_TO0324_600_000002,"Antologia italiana : giornale di scienze, lettere ed arti Anno I Tomo II","nan","Torino : G. Pomba",1846,"* | Copertina | 1
* | Frontespizio | 5
* | Copyright | 6
* | Antologia Italiana ... | 7
* | Errata corrige | 766
* | Indice degli articoli contenuti nel presente volume | 767
* | Copertina | 775
"
43,TO00180746_TO0324_1391_000007,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume VII","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Copertina | 1
* | Frontespizio | 5
* | Calendario Georgico ... | 7
* | Indice | 81
"
44,TO00180747_TO0324_1392_000003,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume III","nan","Torino : Stamp. nazionale",1801,"* | Copertina | 1
* | Frontespizio | 5
* | Epigramma | 6
* | Calendario Georgico ... | 7
"
45,TO00180747_TO0324_1392_000008,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume VIII","nan","Torino : Stamp. nazionale",1801,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 114
* | Copertina | 119
"
46,TO00180747_TO0324_1392_000006,"Calendario georgico della Societa agraria subalpina per l'anno .. Volume VI","nan","Torino : Stamp. nazionale",1801,"* | Copertina | 1
* | Frontespizio | 5
* | Prefazione | 7
* | Calendario Georgico ... | 9
* | Indice | 99
"
47,TO00180746_TO0324_1391_000008,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume VIII","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Calendario Georgico ... | 3
* | Indice | 75
"
48,TO00180746_TO0324_1391_000009,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume IX","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 2
* | Indice | 3
* | Calendario Georgico ... | 4
* | Imprimatur | 107
"
49,TO00180770_TO0324_25119_000003,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume III","nan","Torino : dalla Stamperia Briolo",1791,"* | Frontespizio | 1
* | Calendario Reale Georgico ... | 3
* | Copertina | 111
"
50,TO00180770_TO0324_25119_000001,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume I","nan","Torino : dalla Stamperia Briolo",1791,"* | Copertina | 1
* | Frontespizio | 5
* | Vittorio Amedeo per grazia di Dio re di Sardegna, di Cipro, e di Gerusalemme, Duca di Savoja, di Monferrato e Principe di Piemonte ec. | 7
* | Indice | 9
* | Calendario Reale Georgico ... | 13
"
51,TO00176561_TO0324_600_000003,"Antologia italiana : giornale di scienze, lettere ed arti Anno II Tomo III","nan","Torino : G. Pomba",1846,"* | Copertina | 1
* | Frontespizio | 5
* | Copyright | 6
* | Due parole di prefazione | 7
* | Antologia Italiana ... | 9
* | Indice degli articoli contenuti nel presente volume | 752
* | Copertina | 757
"
52,TO00180770_TO0324_25119_000006,"Calendario reale georgico, ossia almanacco d'agricoltura ad uso principalmente degli agronomi piemontesi per l'anno... / compilato e pubblicato d'ordine della R. Societa agraria di Torino Volume VI","nan","Torino : dalla Stamperia Briolo",1791,"* | Frontespizio | 1
* | Calendario Reale Georgico ... | 3
"
53,TO00180746_TO0324_1391_000011,"Calendario georgico della Societa agraria di Torino per l'anno ... : all'istruzione degli agricoltori piemontesi Volume XI","nan","Torino : dalla Stamperia dipartimentale",1807,"* | Frontespizio | 1
* | Avviso | 3
* | Calendario Georgico ... | 4
* | Indice | 93
"
54,TO01665611_TO0324_88893_000000,"Bonaventura Cavalieri / di Guglielmo Libri; con osservazioni e note di Gottardo Calvi","Libri, Guglielmo","[s.l.] : [s.n.], ",1844,"* | Frontespizio | 1
* | Alter Archimedes (Galilei. Lettere.) | 3
"
55,RAVE009354_TO0324_PNI-930_000000,"Nuove ricerche sull' equilibrio delle volte dell'abate Lorenzo Mascheroni ... coll'elogio scritto dal marchese Ferdinando Landi e con cinque tavole in rame","Mascheroni, Lorenzo","Milano : per Giovanni Silvestri",1829,"* | Copertina | 1
* | Occhietto : Biblioteca scelta di opere italiane antiche e moderne vol, Lorenzo Mascheroni 5 | 238
* | Ritratto | 8
* | Frontespizio | 11
* | Quid velit, et possit rerum concordia discors | 12
* | Elogio dell'Abate Lorenzo Mascheroni ... | 13
* | Prefazione | 31
* | Nuove ricerche sull'equilibrio delle volte | 41
* | Indice delle materie contenute in questo volume | 229
* | Pubblicato il giorno settembre M. DCCC. XXIX 231 | 11
* | In questa tipografia si trovano vendibili tutti gli esemplari esistenti della geometria del compasso ... | 232
* | Illustrazioni | 233
* | Copertina | 245
"
56,TO00962944_TO0324_52346_000000,"Quattro lezioni sul sistema metrico decimale dette da C.I. Giulio nella scuola di meccanica applicata alle arti le sere delli 20, 25, 27 e 30 giugno 1846","Giulio, Carlo Ignazio","Torino : G. Pomba e C. editori",1846,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : A' suoi buoni amici gli alunni della scuola meccanica applicata ... | 7
* | Gli editori | 9
* | Quattro lezioni sul sistema metrico decimale | 11
* | Indice | 79
* | Copertina | 83
"
57,TO00168143_TO0324_84656_000001,"Histoire des sciences mathematiques en Italie, depuis la renaissance des lettres jusqu'a la fin du 17. siecle / par Guillaume Libri Vol. 1","Libri, Guglielmo","A Paris : chez Jules Renouard et C.ie",1838,"* | Copertina | 1
* | Jules Renouard et C. Libraires-Editeurs et libraires-commissionaires pour l'étranger | 3
* | Occhietto : Histoire des sciences mathématiques | 15
* | Frontespizio | 17
* | Dedica : L'auteur offre cet ouvrage aux amis qu'il a laissés en Italie   | 19
* | Indice | 21
* | Avertissement | 23
* | Occhietto: Discours preliminaire | 43
* | Sommaire | 45
* | Discours préliminaire | 47
* | Notes et additions | 237
"
58,TO01189655_TO0324_74428_000000,"G. Galilei sua vita e sue opere / di G.Libri","Libri, Guglielmo","Milano : [S.n.]",1841,"* | Copertina | 1
* | Frontespizio | 5
* | Galileo sua vita e sue opere | 7
* | Copertina | 59
"
59,TO0E112486_TO0324_PNI-20686_000001,"Nova analyseos elementa auctore Joanne Baptista Nicolai ejusdem scientiae P. P. et academico patavino, ... Tomus 1. Pars prior (-1. Pars altera) Tomus 1. Pars prior","Nicolai, Giovanni Battista","",1786,"* | Copertina | 1
* | Frontespizio | 5
* | Insanum quidam esset ... | 6
* | Triumviris literariis senatoribus amplissimis | 7
* | Praefatio | 9
* | Index capitum | 60
* | Nova Analyseos Elementa | 5
* | Imprimatur | 624
* | Copertina | 627
"
60,RMSE005269_TO0324_PNI-14146_000000,"Facilis, et universalis delineatio geometrica umbrarum, quas corpora rotunda praesertim architectonica vel in semetipsis patiuntur, vel sibi invicem inferunt, vel aliunde mutuantur, lumine a puncto unico ubivis posito dimanante. Dissertio lecta coram instituto scientiarum I.B. Magistrini...professore","Magistrini, Giambattista","Bononiae : Typis fratrum Masi, et sociorum",1816,"* | Copertina | 1
* | Frontespizio | 5
* | Proestantissimo Hydrometrae, et architecto S. I. Melchioni ...  | 7
* | Facilis et universalis delineatio geometrica umbrarum ... | 9
* | Conclusio | 43
* | Illustrazioni | 45
* | Copertina | 75
"
61,TO0E039320_TO0324_PNI-1568_000000,"Discorso in lode di Luigi La-Grange recitato dal professore Giambattista Magistrini nella pontificia Universita di Bologna pel solenne aprimento dell'anno scolastico 1818-19","Magistrini, Giambattista","Bologna : per le stampe di Annesio Nobili",1819,"* | Copertina  | 1
* | Frontespizio | 5
* | Discorso in lode di Luigi La-Grange | 7
* | Copertina | 41
"
62,LO10208254_TO0324_39363_000000,"Sunti delle lezioni di meccanica applicata alle arti : dette l'anno 1846-47 nelle regie scuole tecniche di Torino / da C. I. Giulio","Giulio, Carlo Ignazio","Torino : Pomba",1846,"* | Copertina | 1
* | Occhietto : Sunti delle lezioni di meccanica | 5
* | Frontespizio | 7
* | Prefazione | 9
* | Parte prima degli organi meccanici e della composizione delle macchine | 13
* | Indice | 331
* | Illustrazioni | 333
"
63,UFI0301848_TO0324_84658_000002,"Histoire des sciences mathematiques en Italie, depuis la renaissance des lettres jusqu'a la fin du 17. siecle / par Guillaume Libri Vol. 2","Libri, Guglielmo","Paris : chez Jules Renouard et C.ie",1838,"* | Copertina  | 1
* | Occhietto : Histoire des sciences mathématiques | 3
* | Frontespizio | 5
* | Table | 7
* | Livre premier. Sommaire | 9
* | Livre premiere | 11
* | Notes et additions | 295
* | Additions au premiere volume | 527
* | Additions au second volume | 533
* | Errata corrige | 541
* | Copertina | 545
"
64,UFIE003373_TO0324_PNI-2242_000000,"Eustachii Manfredij ... De annuis inerrantium stellarum aberrationibus. ...","Manfredi, Eustachio ","Bononiae : typis Constantini Pisarri S. Inquisitionis impressoris, sub Signo S. Michaelis",1729,"* | Copertina | 1
* | Frontespizio | 7
* | Vidit D. Joseph Antonius Aquaroni clericusregular ... | 9
* | De annuis inerratium stellarum aberrationibus. Ad eminentissimum, ac reverendissimum Joannem Antonium De Via S. R. E. Cardinalem | 11
* | Illustrazioni | 91
* | Copertina | 107
"
65,TO0E103407_TO0324_PNI-17934_000000,"Camilli Leonardi Speculum lapidum, et D. Petri Arlensis de Scudalupis, ... Sympathia septem metallorum ac septem selectorum lapidum ad planetas. Accedit Magia astrologica Petri Constantii Albinii villanovensis","Leonardi, Camillo","Hamburgi : apud Christianum Liebezeit",1717,"* | Copertina | 1
* | Illustrazione | 8
* | Frontespizio | 9
* | Generossimo ac illustrissimo Principi , Carlo Gonsageo Clevesio ... | 11
* | Ad invictissimum ducem nivernensem | 16
* | Hermeti Magno D. Pietro Arlensi de scudalupis ... | 17
* | Camilli Leonardi pisauriensis physici. De lapidibus | 23
* | Sympathia septem metallorum, ac selectorum lapidum ad planetas. doct. Petri Arlensis ... | 209
* | Frontespizio | 413
* | Praefatio | 415
* | Petri Constantii Albinii villanovensis, clavis sympathiae septem metallorum et septem selectorum lapidum ad planetas | 421
* | Index generalis rerum et verborum notabilium, quae hoc libero continentur | 497
* | Copertina | 537
"
66,UFI0301859_TO0324_84660_000004,"Histoire des sciences mathematiques en Italie, depuis la renaissance des lettres jusqu'a la fin du 17. siecle / par Guillaume Libri Vol. 4","Libri, Guglielmo","A Paris : chez Jules Renouard et C.ie",1841,"* | Copertina  | 1
* | Occhietto : Histoire des sciences mathématiques | 3
* | Frontespizio | 5
* | Table | 7
* | Live troisième. Sommaire | 8
* | Livre troisième | 11
* | Notes et additions | 305
* | Additions | 497
* | Errata corrige | 503
* | Copertina | 507
"
67,UFI0301854_TO0324_84659_000003,"Histoire des sciences mathematiques en Italie, depuis la renaissance des lettres jusqu'a la fin du 17. siecle / par Guillaume Libri Vol. 3","Libri, Guglielmo","A Paris : chez Jules Renouard et C.ie",1840,"* | Copertina  | 1
* | Occhietto: Historie des sciences mathématiques | 3
* | Frontespizio | 5
* | Table | 7
* | Livre second. Sommaire | 9
* | Livre second | 11
* | Notes et additions | 218
* | Addition | 466
* | Addition | 472
* | Copertina  | 478
"
68,TO0E112487_TO0324_PNI-20687_000002,"Nova analyseos elementa auctore Joanne Baptista Nicolai ejusdem scientiae P. P. et academico patavino, ... Tomus 1. Pars prior (-1. Pars altera) Tomus 1. Pars altera","Nicolai, Giovanni Battista","",1793,"* | Copertina | 1
